ORIGIN ZIP,DESTINATION ZIP,PICKUPDATE (YYYYMMDD),"PICKUPTIME (HH:MM:SS) - If left blank, value defaults to 18:00:00",WEIGHT (lbs),TOTAL PACKAGES IN SHIPMENT
43004,54457,20220718,,,
43004,54458,20220718,,,
43004,54459,20220718,,,
43004,54460,20220718,,,
43004,54462,20220718,,,
43004,54463,20220718,,,
43004,54464,20220718,,,
43004,54465,20220718,,,
43004,54466,20220718,,,
43004,54467,20220718,,,
43004,54469,20220718,,,
43004,54470,20220718,,,
43004,54471,20220718,,,
43004,54472,20220718,,,
43004,54473,20220718,,,
43004,54474,20220718,,,
43004,54475,20220718,,,
43004,54476,20220718,,,
43004,54479,20220718,,,
43004,54480,20220718,,,
43004,54481,20220718,,,
43004,54482,20220718,,,
43004,54484,20220718,,,
43004,54485,20220718,,,
43004,54486,20220718,,,
43004,54487,20220718,,,
43004,54488,20220718,,,
43004,54489,20220718,,,
43004,54490,20220718,,,
43004,54491,20220718,,,
43004,54492,20220718,,,
43004,54493,20220718,,,
43004,54494,20220718,,,
43004,54495,20220718,,,
43004,54498,20220718,,,
43004,54499,20220718,,,
43004,54501,20220718,,,
43004,54511,20220718,,,
43004,54512,20220718,,,
43004,54513,20220718,,,
43004,54514,20220718,,,
43004,54515,20220718,,,
43004,54517,20220718,,,
43004,54519,20220718,,,
43004,54520,20220718,,,
43004,54521,20220718,,,
43004,54524,20220718,,,
43004,54525,20220718,,,
43004,54526,20220718,,,
43004,54527,20220718,,,
43004,54529,20220718,,,
43004,54530,20220718,,,
43004,54531,20220718,,,
43004,54532,20220718,,,
43004,54534,20220718,,,
43004,54536,20220718,,,
43004,54537,20220718,,,
43004,54538,20220718,,,
43004,54539,20220718,,,
43004,54540,20220718,,,
43004,54541,20220718,,,
43004,54542,20220718,,,
43004,54543,20220718,,,
43004,54545,20220718,,,
43004,54546,20220718,,,
43004,54547,20220718,,,
43004,54548,20220718,,,
43004,54550,20220718,,,
43004,54552,20220718,,,
43004,54554,20220718,,,
43004,54555,20220718,,,
43004,54556,20220718,,,
43004,54557,20220718,,,
43004,54558,20220718,,,
43004,54559,20220718,,,
43004,54560,20220718,,,
43004,54561,20220718,,,
43004,54562,20220718,,,
43004,54563,20220718,,,
43004,54564,20220718,,,
43004,54565,20220718,,,
43004,54566,20220718,,,
43004,54568,20220718,,,
43004,54601,20220718,,,
43004,54602,20220718,,,
43004,54603,20220718,,,
43004,54610,20220718,,,
43004,54611,20220718,,,
43004,54612,20220718,,,
43004,54613,20220718,,,
43004,54614,20220718,,,
43004,54615,20220718,,,
43004,54616,20220718,,,
43004,54618,20220718,,,
43004,54619,20220718,,,
43004,54620,20220718,,,
43004,54621,20220718,,,
43004,54622,20220718,,,
43004,54623,20220718,,,
43004,54624,20220718,,,
43004,54625,20220718,,,
43004,54626,20220718,,,
43004,54627,20220718,,,
43004,54628,20220718,,,
43004,54629,20220718,,,
43004,54630,20220718,,,
43004,54631,20220718,,,
43004,54632,20220718,,,
43004,54634,20220718,,,
43004,54635,20220718,,,
43004,54636,20220718,,,
43004,54637,20220718,,,
43004,54638,20220718,,,
43004,54639,20220718,,,
43004,54640,20220718,,,
43004,54641,20220718,,,
43004,54642,20220718,,,
43004,54643,20220718,,,
43004,54644,20220718,,,
43004,54645,20220718,,,
43004,54646,20220718,,,
43004,54648,20220718,,,
43004,54649,20220718,,,
43004,54650,20220718,,,
43004,54651,20220718,,,
43004,54652,20220718,,,
43004,54653,20220718,,,
43004,54654,20220718,,,
43004,54655,20220718,,,
43004,54656,20220718,,,
43004,54657,20220718,,,
43004,54658,20220718,,,
43004,54659,20220718,,,
43004,54660,20220718,,,
43004,54661,20220718,,,
43004,54662,20220718,,,
43004,54664,20220718,,,
43004,54665,20220718,,,
43004,54666,20220718,,,
43004,54667,20220718,,,
43004,54669,20220718,,,
43004,54670,20220718,,,
43004,54701,20220718,,,
43004,54702,20220718,,,
43004,54703,20220718,,,
43004,54720,20220718,,,
43004,54721,20220718,,,
43004,54722,20220718,,,
43004,54723,20220718,,,
43004,54724,20220718,,,
43004,54725,20220718,,,
43004,54726,20220718,,,
43004,54727,20220718,,,
43004,54728,20220718,,,
43004,54729,20220718,,,
43004,54730,20220718,,,
43004,54731,20220718,,,
43004,54732,20220718,,,
43004,54733,20220718,,,
43004,54734,20220718,,,
43004,54735,20220718,,,
43004,54736,20220718,,,
43004,54737,20220718,,,
43004,54738,20220718,,,
43004,54739,20220718,,,
43004,54740,20220718,,,
43004,54741,20220718,,,
43004,54742,20220718,,,
43004,54743,20220718,,,
43004,54745,20220718,,,
43004,54746,20220718,,,
43004,54747,20220718,,,
43004,54748,20220718,,,
43004,54749,20220718,,,
43004,54750,20220718,,,
43004,54751,20220718,,,
43004,54754,20220718,,,
43004,54755,20220718,,,
43004,54756,20220718,,,
43004,54757,20220718,,,
43004,54758,20220718,,,
43004,54759,20220718,,,
43004,54760,20220718,,,
43004,54761,20220718,,,
43004,54762,20220718,,,
43004,54763,20220718,,,
43004,54764,20220718,,,
43004,54765,20220718,,,
43004,54766,20220718,,,
43004,54767,20220718,,,
43004,54768,20220718,,,
43004,54769,20220718,,,
43004,54770,20220718,,,
43004,54771,20220718,,,
43004,54772,20220718,,,
43004,54773,20220718,,,
43004,54774,20220718,,,
43004,54801,20220718,,,
43004,54805,20220718,,,
43004,54806,20220718,,,
43004,54810,20220718,,,
43004,54812,20220718,,,
43004,54813,20220718,,,
43004,54814,20220718,,,
43004,54816,20220718,,,
43004,54817,20220718,,,
43004,54818,20220718,,,
43004,54819,20220718,,,
43004,54820,20220718,,,
43004,54821,20220718,,,
43004,54822,20220718,,,
43004,54824,20220718,,,
43004,54826,20220718,,,
43004,54827,20220718,,,
43004,54828,20220718,,,
43004,54829,20220718,,,
43004,54830,20220718,,,
43004,54832,20220718,,,
43004,54834,20220718,,,
43004,54835,20220718,,,
43004,54836,20220718,,,
43004,54837,20220718,,,
43004,54838,20220718,,,
43004,54839,20220718,,,
43004,54840,20220718,,,
43004,54841,20220718,,,
43004,54842,20220718,,,
43004,54843,20220718,,,
43004,54844,20220718,,,
43004,54845,20220718,,,
43004,54846,20220718,,,
43004,54847,20220718,,,
43004,54848,20220718,,,
43004,54849,20220718,,,
43004,54850,20220718,,,
43004,54853,20220718,,,
43004,54854,20220718,,,
43004,54855,20220718,,,
43004,54856,20220718,,,
43004,54857,20220718,,,
43004,54858,20220718,,,
43004,54859,20220718,,,
43004,54861,20220718,,,
43004,54862,20220718,,,
43004,54864,20220718,,,
43004,54865,20220718,,,
43004,54867,20220718,,,
43004,54868,20220718,,,
43004,54870,20220718,,,
43004,54871,20220718,,,
43004,54872,20220718,,,
43004,54873,20220718,,,
43004,54874,20220718,,,
43004,54875,20220718,,,
43004,54876,20220718,,,
43004,54880,20220718,,,
43004,54888,20220718,,,
43004,54889,20220718,,,
43004,54890,20220718,,,
43004,54891,20220718,,,
43004,54893,20220718,,,
43004,54895,20220718,,,
43004,54896,20220718,,,
43004,54901,20220718,,,
43004,54902,20220718,,,
43004,54903,20220718,,,
43004,54904,20220718,,,
43004,54906,20220718,,,
43004,54909,20220718,,,
43004,54911,20220718,,,
43004,54912,20220718,,,
43004,54913,20220718,,,
43004,54914,20220718,,,
43004,54915,20220718,,,
43004,54919,20220718,,,
43004,54921,20220718,,,
43004,54922,20220718,,,
43004,54923,20220718,,,
43004,54926,20220718,,,
43004,54927,20220718,,,
43004,54928,20220718,,,
43004,54929,20220718,,,
43004,54930,20220718,,,
43004,54931,20220718,,,
43004,54932,20220718,,,
43004,54933,20220718,,,
43004,54934,20220718,,,
43004,54935,20220718,,,
43004,54936,20220718,,,
43004,54937,20220718,,,
43004,54940,20220718,,,
43004,54941,20220718,,,
43004,54942,20220718,,,
43004,54943,20220718,,,
43004,54944,20220718,,,
43004,54945,20220718,,,
43004,54946,20220718,,,
43004,54947,20220718,,,
43004,54948,20220718,,,
43004,54949,20220718,,,
43004,54950,20220718,,,
43004,54952,20220718,,,
43004,54956,20220718,,,
43004,54957,20220718,,,
43004,54960,20220718,,,
43004,54961,20220718,,,
43004,54962,20220718,,,
43004,54963,20220718,,,
43004,54964,20220718,,,
43004,54965,20220718,,,
43004,54966,20220718,,,
43004,54967,20220718,,,
43004,54968,20220718,,,
43004,54969,20220718,,,
43004,54970,20220718,,,
43004,54971,20220718,,,
43004,54974,20220718,,,
43004,54976,20220718,,,
43004,54977,20220718,,,
43004,54978,20220718,,,
43004,54979,20220718,,,
43004,54980,20220718,,,
43004,54981,20220718,,,
43004,54982,20220718,,,
43004,54983,20220718,,,
43004,54984,20220718,,,
43004,54985,20220718,,,
43004,54986,20220718,,,
43004,54990,20220718,,,
43004,55001,20220718,,,
43004,55002,20220718,,,
43004,55003,20220718,,,
43004,55005,20220718,,,
43004,55006,20220718,,,
43004,55007,20220718,,,
43004,55008,20220718,,,
43004,55009,20220718,,,
43004,55010,20220718,,,
43004,55011,20220718,,,
43004,55012,20220718,,,
43004,55013,20220718,,,
43004,55014,20220718,,,
43004,55016,20220718,,,
43004,55017,20220718,,,
43004,55018,20220718,,,
43004,55019,20220718,,,
43004,55020,20220718,,,
43004,55021,20220718,,,
43004,55024,20220718,,,
43004,55025,20220718,,,
43004,55026,20220718,,,
43004,55027,20220718,,,
43004,55029,20220718,,,
43004,55030,20220718,,,
43004,55031,20220718,,,
43004,55032,20220718,,,
43004,55033,20220718,,,
43004,55036,20220718,,,
43004,55037,20220718,,,
43004,55038,20220718,,,
43004,55040,20220718,,,
43004,55041,20220718,,,
43004,55042,20220718,,,
43004,55043,20220718,,,
43004,55044,20220718,,,
43004,55045,20220718,,,
43004,55046,20220718,,,
43004,55047,20220718,,,
43004,55049,20220718,,,
43004,55051,20220718,,,
43004,55052,20220718,,,
43004,55053,20220718,,,
43004,55054,20220718,,,
43004,55055,20220718,,,
43004,55056,20220718,,,
43004,55057,20220718,,,
43004,55060,20220718,,,
43004,55063,20220718,,,
43004,55065,20220718,,,
43004,55066,20220718,,,
43004,55067,20220718,,,
43004,55068,20220718,,,
43004,55069,20220718,,,
43004,55070,20220718,,,
43004,55071,20220718,,,
43004,55072,20220718,,,
43004,55073,20220718,,,
43004,55074,20220718,,,
43004,55075,20220718,,,
43004,55076,20220718,,,
43004,55077,20220718,,,
43004,55078,20220718,,,
43004,55079,20220718,,,
43004,55080,20220718,,,
43004,55082,20220718,,,
43004,55083,20220718,,,
43004,55084,20220718,,,
43004,55085,20220718,,,
43004,55087,20220718,,,
43004,55088,20220718,,,
43004,55089,20220718,,,
43004,55090,20220718,,,
43004,55092,20220718,,,
43004,55101,20220718,,,
43004,55102,20220718,,,
43004,55103,20220718,,,
43004,55104,20220718,,,
43004,55105,20220718,,,
43004,55106,20220718,,,
43004,55107,20220718,,,
43004,55108,20220718,,,
43004,55109,20220718,,,
43004,55110,20220718,,,
43004,55111,20220718,,,
43004,55112,20220718,,,
43004,55113,20220718,,,
43004,55114,20220718,,,
43004,55115,20220718,,,
43004,55116,20220718,,,
43004,55117,20220718,,,
43004,55118,20220718,,,
43004,55119,20220718,,,
43004,55120,20220718,,,
43004,55121,20220718,,,
43004,55122,20220718,,,
43004,55123,20220718,,,
43004,55124,20220718,,,
43004,55125,20220718,,,
43004,55126,20220718,,,
43004,55127,20220718,,,
43004,55128,20220718,,,
43004,55129,20220718,,,
43004,55130,20220718,,,
43004,55133,20220718,,,
43004,55144,20220718,,,
43004,55145,20220718,,,
43004,55146,20220718,,,
43004,55150,20220718,,,
43004,55155,20220718,,,
43004,55161,20220718,,,
43004,55164,20220718,,,
43004,55165,20220718,,,
43004,55166,20220718,,,
43004,55168,20220718,,,
43004,55169,20220718,,,
43004,55170,20220718,,,
43004,55171,20220718,,,
43004,55172,20220718,,,
43004,55175,20220718,,,
43004,55177,20220718,,,
43004,55187,20220718,,,
43004,55188,20220718,,,
43004,55191,20220718,,,
43004,55301,20220718,,,
43004,55302,20220718,,,
43004,55303,20220718,,,
43004,55304,20220718,,,
43004,55305,20220718,,,
43004,55306,20220718,,,
43004,55307,20220718,,,
43004,55308,20220718,,,
43004,55309,20220718,,,
43004,55310,20220718,,,
43004,55311,20220718,,,
43004,55312,20220718,,,
43004,55313,20220718,,,
43004,55314,20220718,,,
43004,55315,20220718,,,
43004,55316,20220718,,,
43004,55317,20220718,,,
43004,55318,20220718,,,
43004,55319,20220718,,,
43004,55320,20220718,,,
43004,55321,20220718,,,
43004,55322,20220718,,,
43004,55323,20220718,,,
43004,55324,20220718,,,
43004,55325,20220718,,,
43004,55327,20220718,,,
43004,55328,20220718,,,
43004,55329,20220718,,,
43004,55330,20220718,,,
43004,55331,20220718,,,
43004,55332,20220718,,,
43004,55333,20220718,,,
43004,55334,20220718,,,
43004,55335,20220718,,,
43004,55336,20220718,,,
43004,55337,20220718,,,
43004,55338,20220718,,,
43004,55339,20220718,,,
43004,55340,20220718,,,
43004,55341,20220718,,,
43004,55342,20220718,,,
43004,55343,20220718,,,
43004,55344,20220718,,,
43004,55345,20220718,,,
43004,55346,20220718,,,
