ORIGIN ZIP,DESTINATION ZIP,PICKUPDATE (YYYYMMDD),"PICKUPTIME (HH:MM:SS) - If left blank, value defaults to 18:00:00",WEIGHT (lbs),TOTAL PACKAGES IN SHIPMENT
43004,31771,20220718,,,
43004,31772,20220718,,,
43004,31773,20220718,,,
43004,31774,20220718,,,
43004,31775,20220718,,,
43004,31776,20220718,,,
43004,31778,20220718,,,
43004,31779,20220718,,,
43004,31780,20220718,,,
43004,31781,20220718,,,
43004,31782,20220718,,,
43004,31783,20220718,,,
43004,31784,20220718,,,
43004,31787,20220718,,,
43004,31788,20220718,,,
43004,31789,20220718,,,
43004,31790,20220718,,,
43004,31791,20220718,,,
43004,31792,20220718,,,
43004,31793,20220718,,,
43004,31794,20220718,,,
43004,31795,20220718,,,
43004,31796,20220718,,,
43004,31798,20220718,,,
43004,31799,20220718,,,
43004,31801,20220718,,,
43004,31803,20220718,,,
43004,31804,20220718,,,
43004,31805,20220718,,,
43004,31806,20220718,,,
43004,31807,20220718,,,
43004,31808,20220718,,,
43004,31810,20220718,,,
43004,31811,20220718,,,
43004,31812,20220718,,,
43004,31814,20220718,,,
43004,31815,20220718,,,
43004,31816,20220718,,,
43004,31820,20220718,,,
43004,31821,20220718,,,
43004,31822,20220718,,,
43004,31823,20220718,,,
43004,31824,20220718,,,
43004,31825,20220718,,,
43004,31826,20220718,,,
43004,31827,20220718,,,
43004,31829,20220718,,,
43004,31830,20220718,,,
43004,31831,20220718,,,
43004,31832,20220718,,,
43004,31833,20220718,,,
43004,31836,20220718,,,
43004,31901,20220718,,,
43004,31902,20220718,,,
43004,31903,20220718,,,
43004,31904,20220718,,,
43004,31905,20220718,,,
43004,31906,20220718,,,
43004,31907,20220718,,,
43004,31908,20220718,,,
43004,31909,20220718,,,
43004,31914,20220718,,,
43004,31917,20220718,,,
43004,31993,20220718,,,
43004,31995,20220718,,,
43004,31997,20220718,,,
43004,31998,20220718,,,
43004,31999,20220718,,,
43004,32003,20220718,,,
43004,32004,20220718,,,
43004,32006,20220718,,,
43004,32007,20220718,,,
43004,32008,20220718,,,
43004,32009,20220718,,,
43004,32011,20220718,,,
43004,32013,20220718,,,
43004,32024,20220718,,,
43004,32025,20220718,,,
43004,32026,20220718,,,
43004,32030,20220718,,,
43004,32033,20220718,,,
43004,32034,20220718,,,
43004,32035,20220718,,,
43004,32038,20220718,,,
43004,32040,20220718,,,
43004,32041,20220718,,,
43004,32042,20220718,,,
43004,32043,20220718,,,
43004,32044,20220718,,,
43004,32046,20220718,,,
43004,32050,20220718,,,
43004,32052,20220718,,,
43004,32053,20220718,,,
43004,32054,20220718,,,
43004,32055,20220718,,,
43004,32056,20220718,,,
43004,32058,20220718,,,
43004,32059,20220718,,,
43004,32060,20220718,,,
43004,32061,20220718,,,
43004,32062,20220718,,,
43004,32063,20220718,,,
43004,32064,20220718,,,
43004,32065,20220718,,,
43004,32066,20220718,,,
43004,32067,20220718,,,
43004,32068,20220718,,,
43004,32071,20220718,,,
43004,32072,20220718,,,
43004,32073,20220718,,,
43004,32079,20220718,,,
43004,32080,20220718,,,
43004,32081,20220718,,,
43004,32082,20220718,,,
43004,32083,20220718,,,
43004,32084,20220718,,,
43004,32085,20220718,,,
43004,32086,20220718,,,
43004,32087,20220718,,,
43004,32091,20220718,,,
43004,32092,20220718,,,
43004,32094,20220718,,,
43004,32095,20220718,,,
43004,32096,20220718,,,
43004,32097,20220718,,,
43004,32099,20220718,,,
43004,32102,20220718,,,
43004,32105,20220718,,,
43004,32110,20220718,,,
43004,32111,20220718,,,
43004,32112,20220718,,,
43004,32113,20220718,,,
43004,32114,20220718,,,
43004,32115,20220718,,,
43004,32116,20220718,,,
43004,32117,20220718,,,
43004,32118,20220718,,,
43004,32119,20220718,,,
43004,32120,20220718,,,
43004,32121,20220718,,,
43004,32122,20220718,,,
43004,32123,20220718,,,
43004,32124,20220718,,,
43004,32125,20220718,,,
43004,32126,20220718,,,
43004,32127,20220718,,,
43004,32128,20220718,,,
43004,32129,20220718,,,
43004,32130,20220718,,,
43004,32131,20220718,,,
43004,32132,20220718,,,
43004,32133,20220718,,,
43004,32134,20220718,,,
43004,32135,20220718,,,
43004,32136,20220718,,,
43004,32137,20220718,,,
43004,32138,20220718,,,
43004,32139,20220718,,,
43004,32140,20220718,,,
43004,32141,20220718,,,
43004,32142,20220718,,,
43004,32143,20220718,,,
43004,32145,20220718,,,
43004,32147,20220718,,,
43004,32148,20220718,,,
43004,32149,20220718,,,
43004,32157,20220718,,,
43004,32158,20220718,,,
43004,32159,20220718,,,
43004,32160,20220718,,,
43004,32162,20220718,,,
43004,32163,20220718,,,
43004,32164,20220718,,,
43004,32168,20220718,,,
43004,32169,20220718,,,
43004,32170,20220718,,,
43004,32173,20220718,,,
43004,32174,20220718,,,
43004,32175,20220718,,,
43004,32176,20220718,,,
43004,32177,20220718,,,
43004,32178,20220718,,,
43004,32179,20220718,,,
43004,32180,20220718,,,
43004,32181,20220718,,,
43004,32182,20220718,,,
43004,32183,20220718,,,
43004,32185,20220718,,,
43004,32187,20220718,,,
43004,32189,20220718,,,
43004,32190,20220718,,,
43004,32192,20220718,,,
43004,32193,20220718,,,
43004,32195,20220718,,,
43004,32198,20220718,,,
43004,32201,20220718,,,
43004,32202,20220718,,,
43004,32203,20220718,,,
43004,32204,20220718,,,
43004,32205,20220718,,,
43004,32206,20220718,,,
43004,32207,20220718,,,
43004,32208,20220718,,,
43004,32209,20220718,,,
43004,32210,20220718,,,
43004,32211,20220718,,,
43004,32212,20220718,,,
43004,32214,20220718,,,
43004,32215,20220718,,,
43004,32216,20220718,,,
43004,32217,20220718,,,
43004,32218,20220718,,,
43004,32219,20220718,,,
43004,32220,20220718,,,
43004,32221,20220718,,,
43004,32222,20220718,,,
43004,32223,20220718,,,
43004,32224,20220718,,,
43004,32225,20220718,,,
43004,32226,20220718,,,
43004,32227,20220718,,,
43004,32228,20220718,,,
43004,32229,20220718,,,
43004,32230,20220718,,,
43004,32231,20220718,,,
43004,32232,20220718,,,
43004,32233,20220718,,,
43004,32234,20220718,,,
43004,32235,20220718,,,
43004,32236,20220718,,,
43004,32237,20220718,,,
43004,32238,20220718,,,
43004,32239,20220718,,,
43004,32240,20220718,,,
43004,32241,20220718,,,
43004,32244,20220718,,,
43004,32245,20220718,,,
43004,32246,20220718,,,
43004,32247,20220718,,,
43004,32250,20220718,,,
43004,32254,20220718,,,
43004,32255,20220718,,,
43004,32256,20220718,,,
43004,32257,20220718,,,
43004,32258,20220718,,,
43004,32259,20220718,,,
43004,32260,20220718,,,
43004,32266,20220718,,,
43004,32267,20220718,,,
43004,32277,20220718,,,
43004,32290,20220718,,,
43004,32301,20220718,,,
43004,32302,20220718,,,
43004,32303,20220718,,,
