ORIGIN ZIP,DESTINATION ZIP,PICKUPDATE (YYYYMMDD),"PICKUPTIME (HH:MM:SS) - If left blank, value defaults to 18:00:00",WEIGHT (lbs),TOTAL PACKAGES IN SHIPMENT
43004,31772,20220711,,,
43004,31773,20220711,,,
43004,31774,20220711,,,
43004,31775,20220711,,,
43004,31776,20220711,,,
43004,31778,20220711,,,
43004,31779,20220711,,,
43004,31780,20220711,,,
43004,31781,20220711,,,
43004,31782,20220711,,,
43004,31783,20220711,,,
43004,31784,20220711,,,
43004,31787,20220711,,,
43004,31788,20220711,,,
43004,31789,20220711,,,
43004,31790,20220711,,,
43004,31791,20220711,,,
43004,31792,20220711,,,
43004,31793,20220711,,,
43004,31794,20220711,,,
43004,31795,20220711,,,
43004,31796,20220711,,,
43004,31798,20220711,,,
43004,31799,20220711,,,
43004,31801,20220711,,,
43004,31803,20220711,,,
43004,31804,20220711,,,
43004,31805,20220711,,,
43004,31806,20220711,,,
43004,31807,20220711,,,
43004,31808,20220711,,,
43004,31810,20220711,,,
43004,31811,20220711,,,
43004,31812,20220711,,,
43004,31814,20220711,,,
43004,31815,20220711,,,
43004,31816,20220711,,,
43004,31820,20220711,,,
43004,31821,20220711,,,
43004,31822,20220711,,,
43004,31823,20220711,,,
43004,31824,20220711,,,
43004,31825,20220711,,,
43004,31826,20220711,,,
43004,31827,20220711,,,
43004,31829,20220711,,,
43004,31830,20220711,,,
43004,31831,20220711,,,
43004,31832,20220711,,,
43004,31833,20220711,,,
43004,31836,20220711,,,
43004,31901,20220711,,,
43004,31902,20220711,,,
43004,31903,20220711,,,
43004,31904,20220711,,,
43004,31905,20220711,,,
43004,31906,20220711,,,
43004,31907,20220711,,,
43004,31908,20220711,,,
43004,31909,20220711,,,
43004,31914,20220711,,,
43004,31917,20220711,,,
43004,31993,20220711,,,
43004,31995,20220711,,,
43004,31997,20220711,,,
43004,31998,20220711,,,
43004,31999,20220711,,,
43004,32003,20220711,,,
43004,32004,20220711,,,
43004,32006,20220711,,,
43004,32007,20220711,,,
43004,32008,20220711,,,
43004,32009,20220711,,,
43004,32011,20220711,,,
43004,32013,20220711,,,
43004,32024,20220711,,,
43004,32025,20220711,,,
43004,32026,20220711,,,
43004,32030,20220711,,,
43004,32033,20220711,,,
43004,32034,20220711,,,
43004,32035,20220711,,,
43004,32038,20220711,,,
43004,32040,20220711,,,
43004,32041,20220711,,,
43004,32042,20220711,,,
43004,32043,20220711,,,
43004,32044,20220711,,,
43004,32046,20220711,,,
43004,32050,20220711,,,
43004,32052,20220711,,,
43004,32053,20220711,,,
43004,32054,20220711,,,
43004,32055,20220711,,,
43004,32056,20220711,,,
43004,32058,20220711,,,
43004,32059,20220711,,,
43004,32060,20220711,,,
43004,32061,20220711,,,
43004,32062,20220711,,,
43004,32063,20220711,,,
43004,32064,20220711,,,
43004,32065,20220711,,,
43004,32066,20220711,,,
43004,32067,20220711,,,
43004,32068,20220711,,,
43004,32071,20220711,,,
43004,32072,20220711,,,
43004,32073,20220711,,,
43004,32079,20220711,,,
43004,32080,20220711,,,
43004,32081,20220711,,,
43004,32082,20220711,,,
43004,32083,20220711,,,
43004,32084,20220711,,,
43004,32085,20220711,,,
43004,32086,20220711,,,
43004,32087,20220711,,,
43004,32091,20220711,,,
43004,32092,20220711,,,
43004,32094,20220711,,,
43004,32095,20220711,,,
43004,32096,20220711,,,
43004,32097,20220711,,,
43004,32099,20220711,,,
43004,32102,20220711,,,
43004,32105,20220711,,,
43004,32110,20220711,,,
43004,32111,20220711,,,
43004,32112,20220711,,,
43004,32113,20220711,,,
43004,32114,20220711,,,
43004,32115,20220711,,,
43004,32116,20220711,,,
43004,32117,20220711,,,
43004,32118,20220711,,,
43004,32119,20220711,,,
43004,32120,20220711,,,
43004,32121,20220711,,,
43004,32122,20220711,,,
43004,32123,20220711,,,
43004,32124,20220711,,,
43004,32125,20220711,,,
43004,32126,20220711,,,
43004,32127,20220711,,,
43004,32128,20220711,,,
43004,32129,20220711,,,
43004,32130,20220711,,,
43004,32131,20220711,,,
43004,32132,20220711,,,
43004,32133,20220711,,,
43004,32134,20220711,,,
43004,32135,20220711,,,
43004,32136,20220711,,,
43004,32137,20220711,,,
43004,32138,20220711,,,
43004,32139,20220711,,,
43004,32140,20220711,,,
43004,32141,20220711,,,
43004,32142,20220711,,,
43004,32143,20220711,,,
43004,32145,20220711,,,
43004,32147,20220711,,,
43004,32148,20220711,,,
43004,32149,20220711,,,
43004,32157,20220711,,,
43004,32158,20220711,,,
43004,32159,20220711,,,
43004,32160,20220711,,,
43004,32162,20220711,,,
43004,32163,20220711,,,
43004,32164,20220711,,,
43004,32168,20220711,,,
43004,32169,20220711,,,
43004,32170,20220711,,,
43004,32173,20220711,,,
43004,32174,20220711,,,
43004,32175,20220711,,,
43004,32176,20220711,,,
43004,32177,20220711,,,
43004,32178,20220711,,,
43004,32179,20220711,,,
43004,32180,20220711,,,
43004,32181,20220711,,,
43004,32182,20220711,,,
43004,32183,20220711,,,
43004,32185,20220711,,,
43004,32187,20220711,,,
43004,32189,20220711,,,
43004,32190,20220711,,,
43004,32192,20220711,,,
43004,32193,20220711,,,
43004,32195,20220711,,,
43004,32198,20220711,,,
43004,32201,20220711,,,
43004,32202,20220711,,,
43004,32203,20220711,,,
43004,32204,20220711,,,
43004,32205,20220711,,,
43004,32206,20220711,,,
43004,32207,20220711,,,
43004,32208,20220711,,,
43004,32209,20220711,,,
43004,32210,20220711,,,
43004,32211,20220711,,,
43004,32212,20220711,,,
43004,32214,20220711,,,
43004,32215,20220711,,,
43004,32216,20220711,,,
43004,32217,20220711,,,
43004,32218,20220711,,,
43004,32219,20220711,,,
43004,32220,20220711,,,
43004,32221,20220711,,,
43004,32222,20220711,,,
43004,32223,20220711,,,
43004,32224,20220711,,,
43004,32225,20220711,,,
43004,32226,20220711,,,
43004,32227,20220711,,,
43004,32228,20220711,,,
43004,32229,20220711,,,
43004,32230,20220711,,,
43004,32231,20220711,,,
43004,32232,20220711,,,
43004,32233,20220711,,,
43004,32234,20220711,,,
43004,32235,20220711,,,
43004,32236,20220711,,,
